agent,pick_rate,rounds,rating,ACS,K/D,ADR,KPR,DPR,APR,FBPR,FDPR,HS%,FBSR%
Jett,78.14%,462467,1.08,232.8,1.10,148.7,0.82,0.74,0.16,0.19,0.16,25%,54%
Sova,76.00%,450157,0.97,194.6,0.98,133.5,0.66,0.68,0.32,0.06,0.06,25%,49%
Astra,48.14%,284853,0.98,186.6,0.99,123.8,0.68,0.68,0.32,0.07,0.07,26%,48%
Viper,42.67%,253988,0.95,193.1,0.97,128.4,0.67,0.69,0.28,0.08,0.09,25%,46%
Killjoy,34.27%,202132,0.91,197.4,1.00,134.3,0.69,0.69,0.18,0.08,0.09,22%,48%
Chamber,34.14%,203821,1.01,214.6,1.09,140.2,0.77,0.71,0.15,0.13,0.11,25%,55%
Skye,30.47%,180913,0.94,186.1,0.93,122.8,0.66,0.71,0.29,0.08,0.10,26%,45%
Sage,28.04%,165744,0.93,178.2,0.90,117.5,0.63,0.70,0.33,0.07,0.09,25%,45%
KAY/O,25.84%,153811,1.02,193.5,0.92,127.5,0.66,0.72,0.43,0.08,0.10,23%,46%
Raze,23.79%,141825,1.07,236.1,1.05,156.6,0.79,0.75,0.23,0.15,0.14,18%,50%
Breach,19.83%,118077,0.90,175.0,0.90,117.1,0.63,0.70,0.28,0.06,0.07,25%,46%
Cypher,15.63%,92554,0.90,187.6,0.96,124.8,0.67,0.70,0.19,0.08,0.09,26%,47%
Reyna,15.12%,88068,1.04,226.2,1.05,148.5,0.79,0.76,0.18,0.13,0.14,26%,49%
Omen,13.58%,80855,0.97,186.5,0.95,121.3,0.66,0.70,0.33,0.07,0.08,25%,47%
Brimstone,10.64%,63430,1.02,193.4,0.95,125.9,0.66,0.70,0.42,0.07,0.08,24%,48%
Neon,1.06%,6388,0.99,218.9,0.98,143.1,0.75,0.76,0.18,0.15,0.17,22%,47%
Phoenix,0.45%,2593,1.06,226.6,1.06,149.8,0.79,0.74,0.20,0.14,0.12,27%,52%
Yoru,0.34%,1978,0.92,201.4,0.94,131.6,0.70,0.75,0.17,0.12,0.12,25%,51%
